sensor,correlation,abs_correlation
sensor_11,-0.7767649181252565,0.7767649181252565
sensor_4,-0.758570644853528,0.758570644853528
sensor_12,0.750039796636214,0.750039796636214
sensor_7,0.7347240530839293,0.7347240530839293
sensor_15,-0.7210407048122802,0.7210407048122802
sensor_21,0.7098112452986447,0.7098112452986447
sensor_20,0.7062886896052842,0.7062886896052842
sensor_17,-0.6815773488171114,0.6815773488171114
sensor_2,-0.6810059546057418,0.6810059546057418
sensor_3,-0.6563509250374311,0.6563509250374311
sensor_8,-0.6270288460723477,0.6270288460723477
sensor_13,-0.6262256128022577,0.6262256128022577
sensor_9,-0.4747185217631397,0.4747185217631397
sensor_14,-0.3832027237237941,0.3832027237237941
sensor_6,-0.10821398498893658,0.10821398498893658
