sensor,correlation,abs_correlation
sensor_16,-0.08587087994455378,0.08587087994455378
sensor_14,-0.061985682882911224,0.061985682882911224
sensor_11,-0.0551026019464908,0.0551026019464908
sensor_4,-0.046200869132744814,0.046200869132744814
sensor_15,-0.03780702042257355,0.03780702042257355
sensor_17,-0.031557550438015725,0.031557550438015725
sensor_3,-0.03150538985572052,0.03150538985572052
sensor_9,-0.021244919036627473,0.021244919036627473
sensor_20,0.008588047086163444,0.008588047086163444
sensor_21,0.008499074787444837,0.008499074787444837
sensor_2,-0.005739287948161818,0.005739287948161818
sensor_7,0.004158227946888639,0.004158227946888639
sensor_12,0.003943081102528893,0.003943081102528893
sensor_10,0.0037255905491807573,0.0037255905491807573
sensor_5,0.0021647535457242468,0.0021647535457242468
sensor_1,0.0021460883705036312,0.0021460883705036312
sensor_6,0.0018346268876063474,0.0018346268876063474
sensor_13,-0.0011030461022480305,0.0011030461022480305
sensor_18,0.0005423058342270373,0.0005423058342270373
sensor_19,-0.00046519597715477426,0.00046519597715477426
sensor_8,8.203759170878291e-06,8.203759170878291e-06
