sensor,correlation,abs_correlation
sensor_11,-0.7716457871915549,0.7716457871915549
sensor_4,-0.7542797132178153,0.7542797132178153
sensor_12,0.7428878746299363,0.7428878746299363
sensor_7,0.7289165694468398,0.7289165694468398
sensor_15,-0.7162651784563996,0.7162651784563996
sensor_21,0.7060238839615544,0.7060238839615544
sensor_20,0.7029892782758578,0.7029892782758578
sensor_17,-0.6792549454728194,0.6792549454728194
sensor_2,-0.6760433073107067,0.6760433073107067
sensor_3,-0.6562360896742855,0.6562360896742855
sensor_8,-0.6146015130017393,0.6146015130017393
sensor_13,-0.6130929998711515,0.6130929998711515
sensor_9,-0.5107114471878432,0.5107114471878432
sensor_14,-0.4242886950598261,0.4242886950598261
sensor_6,-0.10689005058825977,0.10689005058825977
