sensor,correlation,abs_correlation
sensor_14,-0.09102149250623545,0.09102149250623545
sensor_11,-0.06089478999867394,0.06089478999867394
sensor_4,-0.04739615684911383,0.04739615684911383
sensor_17,-0.03418095358084473,0.03418095358084473
sensor_3,-0.03402987119280863,0.03402987119280863
sensor_9,-0.026557699411256474,0.026557699411256474
sensor_15,-0.019130912599796008,0.019130912599796008
sensor_2,-0.0067013159518562555,0.0067013159518562555
sensor_20,0.004596804717297572,0.004596804717297572
sensor_21,0.004510933923662822,0.004510933923662822
sensor_13,-0.0007956282665337708,0.0007956282665337708
sensor_12,-0.0007298191830513779,0.0007298191830513779
sensor_7,-0.0004928262709924391,0.0004928262709924391
sensor_6,0.00032018369680941543,0.00032018369680941543
sensor_8,-0.00031500301157334483,0.00031500301157334483
